lambdas,inflation_variance,output_gap_variance,interest_variance,loss,coefficients
0.0,1.1686,1.1954,16.018,1.195724,[ 0.19078845  0.00340481  0.9943791  -0.00802521]
0.125,1.167,1.1956,16.009,1.1921059999999999,[ 0.19723287  0.00382156  0.99539721 -0.00740472]
0.25,1.1592,1.1972,16.008,1.187764,[ 0.22964538  0.00319698  0.99960887 -0.00699878]
0.375,1.1528,1.2002,16.008,1.182489,[ 0.25606808  0.00296941  1.00283266 -0.00598349]
0.5,1.1444,1.2071,16.005,1.175775,[ 0.29135062  0.00285524  1.00482768 -0.00545538]
0.625,1.1291,1.2272,16.006,1.1659235000000001,[ 0.35666391  0.00284462  1.00479247 -0.00460605]
0.75,1.0997,1.2956,16.005,1.1486999999999998,[ 0.48172192  0.00321202  0.98883056 -0.00336054]
0.875,1.0157,1.7164,16.004,1.1033035,[7.87005684e-01 3.41656982e-03 8.44057152e-01 2.29671560e-04]
1.0,0.7810600000000001,6.1947,16.002,0.7810640000000001,[1.11764154e+00 5.31178543e-03 1.69538020e-01 2.53379745e-04]
